Position	ENSG.ID	Gene.type	Gene.name	Chromosome	ENSP.ID	stat	enr
104	ENSG00000122122	protein_coding	SASH3	X	ENSP00000349359	19874	24
105	ENSG00000133106	protein_coding	EPSTI1	13	ENSP00000318982	19873	24
106	ENSG00000203747	protein_coding	FCGR3A	1	ENSP00000356946	19872	25
107	ENSG00000100342	protein_coding	APOL1	22	ENSP00000317674	19871	25
108	ENSG00000132965	protein_coding	ALOX5AP	13	ENSP00000479870	19870	25
109	ENSG00000132357	protein_coding	CARD6	5	ENSP00000254691	19869	25
110	ENSG00000100985	protein_coding	MMP9	20	ENSP00000361405	19868	26
111	ENSG00000156587	protein_coding	UBE2L6	11	ENSP00000287156	19867	26
112	ENSG00000185215	protein_coding	TNFAIP2	14	ENSP00000452634	19866	26
113	ENSG00000105851	protein_coding	PIK3CG	7	ENSP00000352121	19865	26
114	ENSG00000167286	protein_coding	CD3D	11	ENSP00000300692	19864	26
115	ENSG00000135046	protein_coding	ANXA1	9	ENSP00000366109	19863	26
116	ENSG00000026508	protein_coding	CD44	11	ENSP00000398632	19862	26
117	ENSG00000125735	protein_coding	TNFSF14	19	ENSP00000469049	19861	26
118	ENSG00000114013	protein_coding	CD86	3	ENSP00000332049	19860	26
119	ENSG00000104972	protein_coding	LILRB1	19	ENSP00000315997	19859	26
120	ENSG00000170581	protein_coding	STAT2	12	ENSP00000315768	19858	26
121	ENSG00000140968	protein_coding	IRF8	16	ENSP00000268638	19857	26
122	ENSG00000003400	protein_coding	CASP10	2	ENSP00000286186	19856	26
123	ENSG00000101265	protein_coding	RASSF2	20	ENSP00000368710	19855	26
124	ENSG00000140853	protein_coding	NLRC5	16	ENSP00000262510	19854	26
125	ENSG00000009790	protein_coding	TRAF3IP3	1	ENSP00000355991	19853	26
126	ENSG00000134460	protein_coding	IL2RA	10	ENSP00000369293	19852	26
127	ENSG00000110448	protein_coding	CD5	11	ENSP00000342681	19851	26
128	ENSG00000198223	protein_coding	CSF2RA	X	ENSP00000394227	19850	26
129	ENSG00000115415	protein_coding	STAT1	2	ENSP00000354394	19849	26
130	ENSG00000005844	protein_coding	ITGAL	16	ENSP00000349252	19848	26
131	ENSG00000123329	protein_coding	ARHGAP9	12	ENSP00000377380	19847	26
132	ENSG00000161921	protein_coding	CXCL16	17	ENSP00000293778	19846	26
133	ENSG00000066294	protein_coding	CD84	1	ENSP00000312367	19845	26
134	ENSG00000147065	protein_coding	MSN	X	ENSP00000353408	19844	26
135	ENSG00000178562	protein_coding	CD28	2	ENSP00000324890	19843	26
136	ENSG00000163563	protein_coding	MNDA	1	ENSP00000357123	19842	26
137	ENSG00000131203	protein_coding	IDO1	8	ENSP00000430950	19841	26
138	ENSG00000131042	protein_coding	LILRB2	19	ENSP00000375629	19840	26
139	ENSG00000089327	protein_coding	FXYD5	19	ENSP00000344254	19839	26
140	ENSG00000169896	protein_coding	ITGAM	16	ENSP00000441691	19838	27
141	ENSG00000101916	protein_coding	TLR8	X	ENSP00000312082	19837	27
142	ENSG00000137752	protein_coding	CASP1	11	ENSP00000433138	19836	28
143	ENSG00000170542	protein_coding	SERPINB9	6	ENSP00000370074	19835	28
144	ENSG00000126264	protein_coding	HCST	19	ENSP00000246551	19834	28
145	ENSG00000126759	protein_coding	CFP	X	ENSP00000247153	19833	28
146	ENSG00000023902	protein_coding	PLEKHO1	1	ENSP00000358120	19832	28
147	ENSG00000110934	protein_coding	BIN2	12	ENSP00000267012	19831	28
148	ENSG00000082074	protein_coding	FYB1	5	ENSP00000427114	19830	28
149	ENSG00000011600	protein_coding	TYROBP	19	ENSP00000262629	19829	28
150	ENSG00000102962	protein_coding	CCL22	16	ENSP00000219235	19828	29
151	ENSG00000013725	protein_coding	CD6	11	ENSP00000323280	19827	29
152	ENSG00000105122	protein_coding	RASAL3	19	ENSP00000341905	19826	29
153	ENSG00000104814	protein_coding	MAP4K1	19	ENSP00000465039	19825	29
154	ENSG00000171051	protein_coding	FPR1	19	ENSP00000471493	19824	30
155	ENSG00000187498	protein_coding	COL4A1	13	ENSP00000364979	19823	30
156	ENSG00000115232	protein_coding	ITGA4	2	ENSP00000380227	19822	30
157	ENSG00000163191	protein_coding	S100A11	1	ENSP00000271638	19821	30
158	ENSG00000146094	protein_coding	DOK3	5	ENSP00000349727	19820	30
159	ENSG00000221963	protein_coding	APOL6	22	ENSP00000386280	19819	30
160	ENSG00000136250	protein_coding	AOAH	7	ENSP00000479664	19818	30
161	ENSG00000183486	protein_coding	MX2	21	ENSP00000333657	19817	30
162	ENSG00000058262	protein_coding	SEC61A1	3	ENSP00000243253	19816	30
163	ENSG00000103522	protein_coding	IL21R	16	ENSP00000338010	19815	30
164	ENSG00000110446	protein_coding	SLC15A3	11	ENSP00000227880	19814	30
165	ENSG00000156127	protein_coding	BATF	14	ENSP00000286639	19813	30
166	ENSG00000102096	protein_coding	PIM2	X	ENSP00000365692	19812	30
167	ENSG00000168394	protein_coding	TAP1	6	ENSP00000346206	19811	30
168	ENSG00000160654	protein_coding	CD3G	11	ENSP00000431445	19810	30
169	ENSG00000111348	protein_coding	ARHGDIB	12	ENSP00000228945	19809	30
170	ENSG00000176014	protein_coding	TUBB6	18	ENSP00000318697	19808	30
171	ENSG00000163220	protein_coding	S100A9	1	ENSP00000357727	19807	30
172	ENSG00000140464	protein_coding	PML	15	ENSP00000268058	19806	30
173	ENSG00000165168	protein_coding	CYBB	X	ENSP00000367851	19805	31
174	ENSG00000183484	protein_coding	GPR132	14	ENSP00000328818	19804	32
175	ENSG00000106952	protein_coding	TNFSF8	9	ENSP00000223795	19803	32
176	ENSG00000064886	protein_coding	CHI3L2	1	ENSP00000437082	19802	32
177	ENSG00000168404	protein_coding	MLKL	16	ENSP00000308351	19801	32
178	ENSG00000132334	protein_coding	PTPRE	10	ENSP00000254667	19800	33
179	ENSG00000167613	protein_coding	LAIR1	19	ENSP00000375622	19799	33
180	ENSG00000187688	protein_coding	TRPV2	17	ENSP00000342222	19798	33
181	ENSG00000143390	protein_coding	RFX5	1	ENSP00000290524	19797	33
182	ENSG00000049249	protein_coding	TNFRSF9	1	ENSP00000478699	19796	34
183	ENSG00000138755	protein_coding	CXCL9	4	ENSP00000354901	19795	35
184	ENSG00000137078	protein_coding	SIT1	9	ENSP00000259608	19794	35
185	ENSG00000168918	protein_coding	INPP5D	2	ENSP00000405338	19793	35
186	ENSG00000122188	protein_coding	LAX1	1	ENSP00000406970	19792	35
187	ENSG00000185507	protein_coding	IRF7	11	ENSP00000380697	19791	36
188	ENSG00000171310	protein_coding	CHST11	12	ENSP00000305725	19790	36
189	ENSG00000163568	protein_coding	AIM2	1	ENSP00000357112	19789	36
190	ENSG00000169442	protein_coding	CD52	1	ENSP00000363330	19788	36
191	ENSG00000108950	protein_coding	FAM20A	17	ENSP00000468308	19787	36
192	ENSG00000122862	protein_coding	SRGN	10	ENSP00000242465	19786	36
193	ENSG00000167851	protein_coding	CD300A	17	ENSP00000353259	19785	36
194	ENSG00000168421	protein_coding	RHOH	4	ENSP00000371219	19784	36
195	ENSG00000168071	protein_coding	CCDC88B	11	ENSP00000349238	19783	36
196	ENSG00000177409	protein_coding	SAMD9L	7	ENSP00000326247	19782	36
197	ENSG00000171860	protein_coding	C3AR1	12	ENSP00000302079	19781	37
198	ENSG00000175567	protein_coding	UCP2	11	ENSP00000312029	19780	37
199	ENSG00000127084	protein_coding	FGD3	9	ENSP00000364631	19779	37
200	ENSG00000127507	protein_coding	ADGRE2	19	ENSP00000319883	19778	37
201	ENSG00000172215	protein_coding	CXCR6	3	ENSP00000395704	19777	38
202	ENSG00000113263	protein_coding	ITK	5	ENSP00000398655	19776	38
203	ENSG00000184922	protein_coding	FMNL1	17	ENSP00000329219	19775	38
204	ENSG00000186810	protein_coding	CXCR3	X	ENSP00000362795	19774	38
205	ENSG00000086730	protein_coding	LAT2	7	ENSP00000420494	19773	38
206	ENSG00000182326	protein_coding	C1S	12	ENSP00000385035	19772	38
207	ENSG00000185905	protein_coding	C16orf54	16	ENSP00000327506	19771	38
208	ENSG00000129667	protein_coding	RHBDF2	17	ENSP00000322775	19770	38
209	ENSG00000172724	protein_coding	CCL19	9	ENSP00000308815	19769	38
210	ENSG00000157601	protein_coding	MX1	21	ENSP00000381601	19768	38
211	ENSG00000151651	protein_coding	ADAM8	10	ENSP00000453302	19767	38
212	ENSG00000121966	protein_coding	CXCR4	2	ENSP00000386884	19766	38
213	ENSG00000108691	protein_coding	CCL2	17	ENSP00000225831	19765	39
214	ENSG00000121807	protein_coding	CCR2	3	ENSP00000292301	19764	39
215	ENSG00000185404	protein_coding	SP140L	2	ENSP00000397911	19763	39
216	ENSG00000041982	protein_coding	TNC	9	ENSP00000265131	19762	39
217	ENSG00000070190	protein_coding	DAPP1	4	ENSP00000423602	19761	39
218	ENSG00000140379	protein_coding	BCL2A1	15	ENSP00000267953	19760	39
219	ENSG00000104894	protein_coding	CD37	19	ENSP00000325708	19759	39
220	ENSG00000135077	protein_coding	HAVCR2	5	ENSP00000312002	19758	39
221	ENSG00000171608	protein_coding	PIK3CD	1	ENSP00000366563	19757	39
222	ENSG00000015285	protein_coding	WAS	X	ENSP00000365891	19756	39
223	ENSG00000198821	protein_coding	CD247	1	ENSP00000354782	19755	39
224	ENSG00000143851	protein_coding	PTPN7	1	ENSP00000309116	19754	39
225	ENSG00000164430	protein_coding	CGAS	6	ENSP00000359339	19753	39
226	ENSG00000198959	protein_coding	TGM2	20	ENSP00000355330	19752	39
227	ENSG00000163131	protein_coding	CTSS	1	ENSP00000357981	19751	39
228	ENSG00000135074	protein_coding	ADAM19	5	ENSP00000257527	19750	39
229	ENSG00000123609	protein_coding	NMI	2	ENSP00000243346	19749	40
230	ENSG00000171848	protein_coding	RRM2	2	ENSP00000353770	19748	40
231	ENSG00000128340	protein_coding	RAC2	22	ENSP00000249071	19747	40
232	ENSG00000027869	protein_coding	SH2D2A	1	ENSP00000376123	19746	40
233	ENSG00000071246	protein_coding	VASH1	14	ENSP00000167106	19745	40
234	ENSG00000125910	protein_coding	S1PR4	19	ENSP00000246115	19744	40
235	ENSG00000173369	protein_coding	C1QB	1	ENSP00000313967	19743	40
236	ENSG00000143226	protein_coding	FCGR2A	1	ENSP00000271450	19742	40
237	ENSG00000241839	protein_coding	PLEKHO2	15	ENSP00000326706	19741	40
238	ENSG00000134061	protein_coding	CD180	5	ENSP00000256447	19740	40
239	ENSG00000020633	protein_coding	RUNX3	1	ENSP00000382800	19739	40
240	ENSG00000138180	protein_coding	CEP55	10	ENSP00000360540	19738	40
241	ENSG00000174125	protein_coding	TLR1	4	ENSP00000354932	19737	41
242	ENSG00000126709	protein_coding	IFI6	1	ENSP00000342513	19736	41
243	ENSG00000177989	protein_coding	ODF3B	22	ENSP00000382804	19735	41
244	ENSG00000163219	protein_coding	ARHGAP25	2	ENSP00000386911	19734	41
245	ENSG00000089012	protein_coding	SIRPG	20	ENSP00000305529	19733	41
246	ENSG00000119535	protein_coding	CSF3R	1	ENSP00000362195	19732	42
247	ENSG00000139278	protein_coding	GLIPR1	12	ENSP00000266659	19731	42
248	ENSG00000126882	protein_coding	FAM78A	9	ENSP00000361345	19730	42
249	ENSG00000181847	protein_coding	TIGIT	3	ENSP00000419085	19729	42
250	ENSG00000136689	protein_coding	IL1RN	2	ENSP00000259206	19728	43
251	ENSG00000124201	protein_coding	ZNFX1	20	ENSP00000379412	19727	43
252	ENSG00000169508	protein_coding	GPR183	13	ENSP00000365596	19726	44
253	ENSG00000124256	protein_coding	ZBP1	20	ENSP00000360215	19725	44
254	ENSG00000177575	protein_coding	CD163	12	ENSP00000352071	19724	45
255	ENSG00000130303	protein_coding	BST2	19	ENSP00000252593	19723	46
256	ENSG00000175463	protein_coding	TBC1D10C	11	ENSP00000443654	19722	46
257	ENSG00000115267	protein_coding	IFIH1	2	ENSP00000263642	19721	46
258	ENSG00000013810	protein_coding	TACC3	4	ENSP00000326550	19720	46
259	ENSG00000139193	protein_coding	CD27	12	ENSP00000266557	19719	46
260	ENSG00000124126	protein_coding	PREX1	20	ENSP00000361009	19718	46
261	ENSG00000163359	protein_coding	COL6A3	2	ENSP00000295550	19717	46
262	ENSG00000130508	protein_coding	PXDN	2	ENSP00000252804	19716	46
263	ENSG00000010671	protein_coding	BTK	X	ENSP00000483570	19715	46
264	ENSG00000172716	protein_coding	SLFN11	17	ENSP00000378067	19714	46
265	ENSG00000115935	protein_coding	WIPF1	2	ENSP00000376330	19713	46
266	ENSG00000077238	protein_coding	IL4R	16	ENSP00000379111	19712	47
267	ENSG00000054967	protein_coding	RELT	11	ENSP00000064780	19711	47
268	ENSG00000119714	protein_coding	GPR68	14	ENSP00000434045	19710	47
269	ENSG00000066336	protein_coding	SPI1	11	ENSP00000227163	19709	47
270	ENSG00000110719	protein_coding	TCIRG1	11	ENSP00000265686	19708	47
271	ENSG00000175489	protein_coding	LRRC25	19	ENSP00000340983	19707	47
272	ENSG00000160883	protein_coding	HK3	5	ENSP00000292432	19706	47
273	ENSG00000196743	protein_coding	GM2A	5	ENSP00000349687	19705	47
274	ENSG00000162711	protein_coding	NLRP3	1	ENSP00000337383	19704	48
275	ENSG00000132514	protein_coding	CLEC10A	17	ENSP00000254868	19703	48
276	ENSG00000161929	protein_coding	SCIMP	17	ENSP00000461269	19702	48
277	ENSG00000197629	protein_coding	MPEG1	11	ENSP00000354335	19701	48
278	ENSG00000170476	protein_coding	MZB1	5	ENSP00000303920	19700	48
279	ENSG00000143546	protein_coding	S100A8	1	ENSP00000357722	19699	48
280	ENSG00000242574	protein_coding	HLA-DMB	6	ENSP00000398890	19698	48
281	ENSG00000168610	protein_coding	STAT3	17	ENSP00000264657	19697	48
282	ENSG00000119917	protein_coding	IFIT3	10	ENSP00000360883	19696	48
283	ENSG00000023892	protein_coding	DEF6	6	ENSP00000319831	19695	48
284	ENSG00000159189	protein_coding	C1QC	1	ENSP00000363770	19694	48
285	ENSG00000146192	protein_coding	FGD2	6	ENSP00000274963	19693	48
286	ENSG00000115165	protein_coding	CYTIP	2	ENSP00000264192	19692	48
287	ENSG00000005059	protein_coding	MCUB	4	ENSP00000378145	19691	48
288	ENSG00000103222	protein_coding	ABCC1	16	ENSP00000382342	19690	48
289	ENSG00000162654	protein_coding	GBP4	1	ENSP00000359490	19689	48
290	ENSG00000148346	protein_coding	LCN2	9	ENSP00000362108	19688	49
291	ENSG00000110077	protein_coding	MS4A6A	11	ENSP00000392770	19687	49
292	ENSG00000142227	protein_coding	EMP3	19	ENSP00000270221	19686	50
293	ENSG00000121594	protein_coding	CD80	3	ENSP00000264246	19685	50
294	ENSG00000160691	protein_coding	SHC1	1	ENSP00000401303	19684	50
295	ENSG00000096996	protein_coding	IL12RB1	19	ENSP00000470788	19683	50
296	ENSG00000162739	protein_coding	SLAMF6	1	ENSP00000357036	19682	50
297	ENSG00000130755	protein_coding	GMFG	19	ENSP00000472249	19681	50
298	ENSG00000186074	protein_coding	CD300LF	17	ENSP00000462309	19680	50
299	ENSG00000134827	protein_coding	TCN1	11	ENSP00000257264	19679	50
300	ENSG00000198851	protein_coding	CD3E	11	ENSP00000354566	19678	50
301	ENSG00000167460	protein_coding	TPM4	19	ENSP00000345230	19677	50
302	ENSG00000198771	protein_coding	RCSD1	1	ENSP00000356828	19676	50
303	ENSG00000136514	protein_coding	RTP4	3	ENSP00000259030	19675	51
304	ENSG00000185201	protein_coding	IFITM2	11	ENSP00000484689	19674	51
305	ENSG00000113088	protein_coding	GZMK	5	ENSP00000231009	19673	51
306	ENSG00000173821	protein_coding	RNF213	17	ENSP00000464087	19672	51
307	ENSG00000113532	protein_coding	ST8SIA4	5	ENSP00000231461	19671	51
308	ENSG00000145649	protein_coding	GZMA	5	ENSP00000274306	19670	51
309	ENSG00000064666	protein_coding	CNN2	19	ENSP00000263097	19669	51
310	ENSG00000223865	protein_coding	HLA-DPB1	6	ENSP00000408146	19668	51
311	ENSG00000115085	protein_coding	ZAP70	2	ENSP00000264972	19667	51
312	ENSG00000153283	protein_coding	CD96	3	ENSP00000283285	19666	51
313	ENSG00000196611	protein_coding	MMP1	11	ENSP00000322788	19665	51
314	ENSG00000100365	protein_coding	NCF4	22	ENSP00000380334	19664	51
315	ENSG00000188313	protein_coding	PLSCR1	3	ENSP00000345494	19663	51
316	ENSG00000173372	protein_coding	C1QA	1	ENSP00000363773	19662	51
317	ENSG00000122861	protein_coding	PLAU	10	ENSP00000361850	19661	51
318	ENSG00000028277	protein_coding	POU2F2	19	ENSP00000431603	19660	51
319	ENSG00000105374	protein_coding	NKG7	19	ENSP00000221978	19659	51
320	ENSG00000023445	protein_coding	BIRC3	11	ENSP00000263464	19658	51
321	ENSG00000155660	protein_coding	PDIA4	7	ENSP00000286091	19657	51
322	ENSG00000204287	protein_coding	HLA-DRA	6	ENSP00000378786	19656	51
323	ENSG00000132205	protein_coding	EMILIN2	18	ENSP00000254528	19655	51
324	ENSG00000187608	protein_coding	ISG15	1	ENSP00000368699	19654	51
325	ENSG00000011422	protein_coding	PLAUR	19	ENSP00000339328	19653	52
326	ENSG00000137265	protein_coding	IRF4	6	ENSP00000370343	19652	52
327	ENSG00000176788	protein_coding	BASP1	5	ENSP00000319281	19651	52
328	ENSG00000073861	protein_coding	TBX21	17	ENSP00000177694	19650	52
329	ENSG00000104998	protein_coding	IL27RA	19	ENSP00000263379	19649	52
330	ENSG00000109805	protein_coding	NCAPG	4	ENSP00000251496	19648	52
331	ENSG00000131378	protein_coding	RFTN1	3	ENSP00000334153	19647	52
332	ENSG00000111331	protein_coding	OAS3	12	ENSP00000228928	19646	52
333	ENSG00000012223	protein_coding	LTF	3	ENSP00000231751	19645	52
334	ENSG00000130487	protein_coding	KLHDC7B	22	ENSP00000379034	19644	52
335	ENSG00000174946	protein_coding	GPR171	3	ENSP00000308479	19643	52
336	ENSG00000135114	protein_coding	OASL	12	ENSP00000257570	19642	52
337	ENSG00000124508	protein_coding	BTN2A2	6	ENSP00000349143	19641	52
338	ENSG00000153563	protein_coding	CD8A	2	ENSP00000386559	19640	53
339	ENSG00000148773	protein_coding	MKI67	10	ENSP00000357643	19639	53
340	ENSG00000079931	protein_coding	MOXD1	6	ENSP00000356940	19638	53
341	ENSG00000169248	protein_coding	CXCL11	4	ENSP00000306884	19637	54
342	ENSG00000166750	protein_coding	SLFN5	17	ENSP00000299977	19636	54
343	ENSG00000204262	protein_coding	COL5A2	2	ENSP00000364000	19635	54
344	ENSG00000113368	protein_coding	LMNB1	5	ENSP00000261366	19634	54
345	ENSG00000188820	protein_coding	CALHM6	6	ENSP00000357594	19633	54
346	ENSG00000196954	protein_coding	CASP4	11	ENSP00000388566	19632	54
347	ENSG00000234745	protein_coding	HLA-B	6	ENSP00000399168	19631	54
348	ENSG00000146232	protein_coding	NFKBIE	6	ENSP00000275015	19630	54
349	ENSG00000163823	protein_coding	CCR1	3	ENSP00000296140	19629	54
350	ENSG00000184584	protein_coding	STING1	5	ENSP00000331288	19628	54
351	ENSG00000167895	protein_coding	TMC8	17	ENSP00000325561	19627	54
352	ENSG00000186827	protein_coding	TNFRSF4	1	ENSP00000368538	19626	54
353	ENSG00000140368	protein_coding	PSTPIP1	15	ENSP00000452746	19625	54
354	ENSG00000167077	protein_coding	MEI1	22	ENSP00000384115	19624	54
355	ENSG00000137965	protein_coding	IFI44	1	ENSP00000359783	19623	54
356	ENSG00000111801	protein_coding	BTN3A3	6	ENSP00000244519	19622	54
357	ENSG00000198286	protein_coding	CARD11	7	ENSP00000380150	19621	54
358	ENSG00000118503	protein_coding	TNFAIP3	6	ENSP00000481570	19620	54
359	ENSG00000180644	protein_coding	PRF1	10	ENSP00000398568	19619	54
360	ENSG00000164111	protein_coding	ANXA5	4	ENSP00000296511	19618	54
